model,price,year,mileage,location,tax,seller_type
HONDA VARIO 150 ESP SPORTY,"Rp17,500,000",2017,"30,000 km",Kota Denpasar,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,800,000",2023,"15,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp18,000,000",2018,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp20,500,000",2021,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp22,100,000",2024,"7,500 km",Kab. Serang,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp17,000,000",2017,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp17,000,000",2017,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp15,000,000",2016,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp15,000,000",2016,"30,000 km",Kota Denpasar,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp25,200,000",2022,"15,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp18,400,000",2018,"30,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp20,900,000",2020,"30,000 km",Kab. Bandung,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,950,000",2023,"15,000 km",Kota Jakarta Barat,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp17,000,000",2016,"30,000 km",Pegirian,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp19,600,000",2018,"15,000 km",Pegirian,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp21,800,000",2022,"30,000 km",Ngrowo,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp24,100,000",2024,"2,500 km",Kota Jakarta Timur,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp19,800,000",2018,"15,000 km",Kab. Bandung,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,800,000",2022,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp17,500,000",2017,"30,000 km",Kab. Buleleng,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,800,000",2023,"7,500 km",Ngrowo,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp18,600,000",2017,"30,000 km",Seduri,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp15,100,000",2016,"30,000 km",Seduri,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp18,900,000",2018,"30,000 km",Kota Jakarta Timur,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp18,400,000",2019,"15,000 km",Kab. Ciamis,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,000,000",2023,"7,500 km",Kab. Ciamis,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,000,000",2023,"2,500 km",Kab. Ciamis,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp14,800,000",2015,"30,000 km",Kota Depok,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp22,400,000",2022,"7,500 km",Kab. Magelang,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp22,200,000",2023,"7,500 km",Kendangsari,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp21,300,000",2021,"15,000 km",Kampung Tengah,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp14,600,000",2017,"30,000 km",Kab. Lebak,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp13,300,000",2016,"30,000 km",Kab. Lebak,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,500,000",2023,"7,500 km",Kota Jakarta Utara,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp21,800,000",2022,"15,000 km",Kab. Sumedang,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp22,600,000",2021,"15,000 km",Kab. Sumedang,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp20,300,000",2022,"30,000 km",Kota Jakarta Timur,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp17,500,000",2017,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp22,000,000",2023,"7,500 km",Kota Jakarta Utara,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp20,750,000",2023,"7,500 km",Kota Jakarta Barat,hidup,dealer
HONDA NEW VARIO CW FI,"Rp12,200,000",2017,"30,000 km",Kota Denpasar,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,900,000",2024,"7,500 km",Kota Jakarta Barat,hidup,dealer
HONDA VARIO 125ESP CBS ISS,"Rp21,000,000",2022,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp20,000,000",2019,"15,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp17,100,000",2016,"30,000 km",Denai,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp21,500,000",2020,"15,000 km",Kota Jakarta Timur,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,400,000",2023,"7,500 km",Kota Jakarta Timur,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,100,000",2023,"7,500 km",Durian,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp23,100,000",2022,"7,500 km",Kota Cimahi,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp24,200,000",2022,"7,500 km",Kota Cimahi,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp19,800,000",2018,"15,000 km",Kota Cimahi,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp19,800,000",2018,"15,000 km",Kota Cimahi,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp15,500,000",2015,"30,000 km",Bojong Nangka,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp22,700,000",2024,"15,000 km",Karah,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp15,100,000",2016,"30,000 km",Karah,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp22,300,000",2021,"30,000 km",Karah,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp21,800,000",2022,"15,000 km",Gading,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,200,000",2021,"30,000 km",Gading,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,400,000",2022,"15,000 km",Kota Jakarta Timur,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,400,000",2023,"7,500 km",Kota Jakarta Timur,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp21,800,000",2024,500 km,Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp22,300,000",2021,"15,000 km",Kab. Langkat,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,100,000",2022,"15,000 km",Kab. Langkat,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp22,950,000",2022,"15,000 km",Kota Tangerang Selatan,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,400,000",2023,"7,500 km",Kota Bambu Utara,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp22,950,000",2024,"7,500 km",Kota Jakarta Barat,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,000,000",2022,"15,000 km",Kota Tangerang,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp22,000,000",2023,"7,500 km",Kota Jakarta Utara,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp25,200,000",2023,"2,500 km",Kota Bandung,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp18,600,000",2019,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp17,000,000",2017,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp18,000,000",2018,"30,000 km",Kota Denpasar,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp21,500,000",2023,"7,500 km",Kota Depok,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp20,300,000",2022,"30,000 km",Kota Depok,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,700,000",2024,"15,000 km",Kota Depok,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp22,600,000",2023,"7,500 km",Tanjung Sari,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,500,000",2019,"15,000 km",Gading,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp22,300,000",2021,"30,000 km",Gading,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp22,100,000",2024,"15,000 km",Kota Jakarta Timur,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp19,600,000",2018,"30,000 km",Gading,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp20,950,000",2023,"30,000 km",Kota Jakarta Barat,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp15,950,000",2018,"30,000 km",Kota Jakarta Barat,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp17,500,000",2017,"30,000 km",Kota Denpasar,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,300,000",2024,"2,500 km",Kota Depok,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp21,800,000",2022,"7,500 km",Kab. Bandung,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp21,500,000",2022,"15,000 km",Kab.sleman,hidup,dealer
HONDA NEW VARIO CW FI,"Rp15,800,000",2019,"30,000 km",Kab.sleman,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp19,000,000",2018,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp17,100,000",2016,"30,000 km",Sukaramai Ii,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,800,000",2020,"30,000 km",Sukaramai Ii,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,100,000",2022,"15,000 km",Sukaramai Ii,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp18,100,000",2018,"30,000 km",Sukaramai Ii,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp17,100,000",2016,"30,000 km",Sukaramai Ii,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp22,100,000",2022,"15,000 km",Sukaramai Ii,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp19,900,000",2021,"30,000 km",Kota Tangerang Selatan,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp21,400,000",2023,"15,000 km",Kota Tangerang Selatan,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp15,900,000",2016,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp15,000,000",2016,"30,000 km",Kota Denpasar,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,800,000",2023,"15,000 km",Kota Denpasar,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,800,000",2023,"15,000 km",Karah,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp24,800,000",2023,"15,000 km",Karah,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp17,100,000",2017,"30,000 km",Karah,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,700,000",2022,"15,000 km",Karah,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp16,600,000",2017,"7,500 km",Kab. Bandung,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,100,000",2023,"2,500 km",Padang Bulan,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,100,000",2022,"15,000 km",Padang Bulan,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp22,600,000",2023,"7,500 km",Padang Bulan,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp22,100,000",2024,"2,500 km",Kota Tangerang,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,800,000",2023,"15,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp18,000,000",2018,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp20,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp22,800,000",2022,"30,000 km",Tulangan,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp24,400,000",2022,"15,000 km",Kab. Garut,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp22,300,000",2021,"30,000 km",Banjarbendo,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp21,600,000",2022,"15,000 km",Bandar Kidul,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp20,000,000",2019,"30,000 km",Bandar Kidul,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp23,200,000",2021,"30,000 km",Bandar Kidul,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,600,000",2021,"7,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp19,900,000",2019,"15,000 km",Suko Manunggal,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp23,600,000",2023,"15,000 km",Kota Jakarta Timur,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp24,100,000",2024,"2,500 km",Kota Jakarta Timur,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,400,000",2023,"7,500 km",Kota Jakarta Timur,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,100,000",2022,"15,000 km",Kota Matsum I,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp14,000,000",2017,"30,000 km",Kota Jakarta Timur,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp20,900,000",2022,"30,000 km",Kota Jakarta Timur,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp24,200,000",2022,"7,500 km",Kota Bandung,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp15,750,000",2017,"30,000 km",Kota Jakarta Barat,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp22,300,000",2021,"15,000 km",Puji Mulyo,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp22,300,000",2021,"15,000 km",Puji Mulyo,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp20,900,000",2020,"15,000 km",Kab. Bandung,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp21,800,000",2022,"15,000 km",Banjarbendo,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp15,100,000",2016,"30,000 km",Sumokali,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp19,600,000",2018,"30,000 km",Sidokumpul,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp22,300,000",2021,"30,000 km",Gading,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp22,100,000",2023,"7,500 km",Tengkerang Barat,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,900,000",2020,"30,000 km",Gading,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp22,300,000",2021,"15,000 km",Gading,hidup,dealer
HONDA NEW VARIO TECHNO,"Rp10,500,000",2015,"30,000 km",Kota Tangerang Selatan,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp19,900,000",2019,"30,000 km",Tulangan,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp22,100,000",2022,"15,000 km",Gaharu,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp18,600,000",2017,"30,000 km",Tulangan,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,100,000",2022,"15,000 km",Pasar Merah Timur,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,950,000",2023,"7,500 km",Kota Jakarta Barat,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp19,000,000",2018,"30,000 km",Kota Denpasar,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,500,000",2022,"15,000 km",Kota Tangerang,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp18,400,000",2018,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp19,200,000",2019,"15,000 km",Kab. Bandung,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp24,750,000",2024,"2,500 km",Kota Jakarta Barat,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp18,100,000",2018,"30,000 km",Percut,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp22,000,000",2023,"7,500 km",Kota Jakarta Utara,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp18,600,000",2020,"30,000 km",Kota Jakarta Timur,hidup,dealer
HONDA VARIO 125ESP CBS ISS,"Rp20,500,000",2021,"30,000 km",Kota Denpasar,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp21,800,000",2022,"15,000 km",Bubutan,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp22,300,000",2021,"30,000 km",Gading,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp19,600,000",2018,"30,000 km",Gading,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp19,800,000",2021,"15,000 km",Kota Depok,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp24,800,000",2022,"15,000 km",Kota Tangerang,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp20,000,000",2021,"15,000 km",Kota Tangerang,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,500,000",2023,"7,500 km",Kota Jakarta Utara,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,800,000",2023,"15,000 km",Kota Denpasar,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,400,000",2023,"30,000 km",Kota Tangerang Selatan,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp19,900,000",2021,"30,000 km",Kota Tangerang Selatan,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp19,500,000",2019,"15,000 km",Kota Jakarta Barat,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp17,000,000",2017,"30,000 km",Kota Denpasar,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,800,000",2022,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp18,600,000",2017,"30,000 km",Kota Malang,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp16,300,000",2017,"30,000 km",Kota Depok,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp23,600,000",2023,"7,500 km",Kota Jakarta Timur,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp22,100,000",2023,"7,500 km",Tengkerang Barat,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,000,000",2022,"15,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp20,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp20,000,000",2021,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp20,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp22,700,000",2022,"15,000 km",Kota Malang,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp15,800,000",2018,"30,000 km",Kota Depok,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp22,600,000",2023,"7,500 km",Padang Bulan,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp24,500,000",2024,"7,500 km",Kota Tangerang,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp21,500,000",2023,"15,000 km",Kota Tangerang,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,100,000",2022,"15,000 km",Padang Bulan,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp20,800,000",2023,"30,000 km",Kota Tangerang,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp21,100,000",2021,"15,000 km",Puji Mulyo,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp22,300,000",2021,"15,000 km",Puji Mulyo,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp22,300,000",2021,"15,000 km",Puji Mulyo,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp19,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp12,900,000",2015,"30,000 km",Kota Tangerang,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp20,900,000",2022,"30,000 km",Kota Tangerang,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp12,900,000",2015,"30,000 km",Kota Tangerang,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp19,900,000",2019,"7,500 km",Bubutan,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp22,200,000",2023,"7,500 km",Kendangsari,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp20,555,555",2021,"7,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp22,100,000",2022,"15,000 km",Telaga Sari,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp21,400,000",2023,"15,000 km",Kota Jakarta Timur,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp17,200,000",2017,"15,000 km",Kota Jakarta Timur,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp21,300,000",2021,"15,000 km",Kampung Tengah,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp22,300,000",2021,"15,000 km",Gading,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,500,000",2019,"30,000 km",Gading,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp18,500,000",2018,"30,000 km",Gading,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp15,900,000",2017,"30,000 km",Kota Jakarta Barat,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,800,000",2023,"15,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp21,500,000",2021,"15,000 km",Kab. Bandung,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,800,000",2023,"15,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp17,500,000",2017,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp18,500,000",2019,"30,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp20,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp12,400,000",2015,"30,000 km",Kota Tangerang Selatan,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp20,800,000",2023,"15,000 km",Kota Tangerang Selatan,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp21,300,000",2021,"15,000 km",Kampung Tengah,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp23,600,000",2023,"15,000 km",Kota Jakarta Timur,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp24,100,000",2024,"2,500 km",Kota Jakarta Timur,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,400,000",2023,"15,000 km",Kota Jakarta Timur,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,500,000",2020,"30,000 km",Kota Jakarta Barat,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp18,900,000",2018,"30,000 km",Kota Jakarta Barat,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp18,450,000",2022,"30,000 km",Kota Jakarta Barat,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp20,000,000",2021,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp20,450,000",2023,"15,000 km",Kota Jakarta Barat,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp20,500,000",2020,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125ESP CBS ISS,"Rp20,900,000",2022,"30,000 km",Kota Jakarta Timur,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp19,500,000",2022,"7,500 km",Kota Jakarta Utara,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp17,000,000",2017,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125ESP CBS ISS,"Rp21,400,000",2023,"2,500 km",Kota Tangerang Selatan,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,500,000",2019,"30,000 km",Tanah Kali Kedinding,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp19,900,000",2019,"30,000 km",Tanah Kali Kedinding,hidup,dealer
