price,year,mileage,location,tax,seller_type,model
"Rp15,500,000",2015,"30,000 km",Bojong Nangka,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp22,700,000",2024,"15,000 km",Karah,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp15,100,000",2016,"30,000 km",Karah,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp22,300,000",2021,"30,000 km",Karah,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp21,800,000",2022,"15,000 km",Gading,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp21,200,000",2021,"30,000 km",Gading,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp22,400,000",2022,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp23,400,000",2023,"7,500 km",Kota Jakarta Timur,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp21,800,000",2024,500 km,Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp22,300,000",2021,"15,000 km",Kab. Langkat,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp22,100,000",2022,"15,000 km",Kab. Langkat,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp22,950,000",2022,"15,000 km",Kota Tangerang Selatan,hidup,dealer,HONDA ALN VARIO 160 ABS
"Rp23,400,000",2023,"7,500 km",Kota Bambu Utara,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp22,950,000",2024,"7,500 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp21,000,000",2022,"15,000 km",Kota Tangerang,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp22,000,000",2023,"7,500 km",Kota Jakarta Utara,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp25,200,000",2023,"2,500 km",Kota Bandung,hidup,dealer,HONDA ALN VARIO 160 ABS
"Rp18,600,000",2019,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp17,000,000",2017,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp18,000,000",2018,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp21,500,000",2023,"7,500 km",Kota Depok,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp20,300,000",2022,"30,000 km",Kota Depok,hidup,dealer,HONDA VARIO 125 CBS ISS
