model,price,location,manufacturer,year,mileage,tax,seller_type
New Honda Vario 160 cbs 2023,Rp 21.500.000,"Mustika Jaya, Bekasi Kota, Jawa Barat",Honda,2023,0-5.000 km,mati,Individu
Vario 125 led putih 2018 Gbm kredit / tunai,Rp 16.900.000,"Kotagede, Yogyakarta Kota, Yogyakarta D.I.",Honda,2018,55.000-60.000 km,hidup,Diler
Vario 125 kzr lengkap motor sehat walafiat keterangan detail dibawah,Rp 8.500.000,"Curug, Tangerang Kab., Banten",Honda,2013,45.000-50.000 km,mati,Individu
Honda Vario lengkap sehat hidup,Rp 6.800.000,"Curug, Tangerang Kab., Banten",Honda,2009,45.000-50.000 km,hidup,Individu
Vario 125 keyless biru 2023 Gbm,Rp 16.300.000,"Ngaglik, Sleman Kab., Yogyakarta D.I.",Honda,2023,10.000-15.000 km,hidup,Diler
DP 2.500 VARIO 125 KEYLES 2024 KTP DAERAH BISA KREDIT PROSES CEPAT,Rp 23.500.000,"Tambora, Jakarta Barat, Jakarta D.K.I.",Honda,2024,0-5.000 km,hidup,Diler
"Honda Vario 160 th 2022 , pasti lebih murah, cash/kredit",Rp 13.350.000,"Pancoran Mas, Depok Kota, Jawa Barat",Honda,2022,15.000-20.000 km,hidup,Diler
Honda Vario 125 cbs iss 2022 berkualitas&Bergaransi,Rp 21.000.000,"Jatiasih, Bekasi Kota, Jawa Barat",Honda,2022,15.000-20.000 km,hidup,Diler
Honda Vario 125 cbs iss 2022 berkualitas&Bergaransi,Rp 21.000.000,"Karawaci, Tangerang Kota, Banten",Honda,2022,15.000-20.000 km,hidup,Diler
Honda Vario 125 cbs iss 2022 berkualitas&Bergaransi,Rp 21.000.000,"Bekasi Timur, Bekasi Kota, Jawa Barat",Honda,2022,15.000-20.000 km,hidup,Diler
Honda Vario 125 cbs iss 2022 Berkualitas&Bergaransi,Rp 21.000.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",Honda,2022,15.000-20.000 km,hidup,Diler
VARIO 125 CBS ISS 2023,Rp 22.000.000,"Neglasari, Tangerang Kota, Banten",Honda,2023,5.000-10.000 km,hidup,Diler
Honda Vario 125 cbs iss 2022 berkualitas&Bergaransi,Rp 21.000.000,"Cibubur, Jakarta Timur, Jakarta D.K.I.",Honda,2022,15.000-20.000 km,hidup,Diler
VARIO 125 CBS ISS 2023 GARANSI MESIN 5000 KM,Rp 22.000.000,"Ciputat, Tangerang Selatan Kota, Banten",Honda,2023,5.000-10.000 km,hidup,Diler
VARIO 125 CBS ISS 2023 GARANSI 5000 KM,Rp 22.000.000,"Bumi Serpong Damai, Tangerang Selatan Kota, Banten",Honda,2023,5.000-10.000 km,hidup,Diler
VARIO 125 ESP CBS ISS 2023 GARANSI 1 TAHUN,Rp 22.000.000,"Cipondoh, Tangerang Kota, Banten",Honda,2023,5.000-10.000 km,hidup,Diler
VARIO 125 CBS ISS 2023 MULUS BERGARANSI 5000 KM,Rp 22.000.000,"Cibodas, Tangerang Kota, Banten",Honda,2023,5.000-10.000 km,hidup,Diler
